Cleaned_Review,Sentiment
one best phones ever used,Positive
good,Positive
skr may battery life us amazing new ip battery life almost days usewhen new battery life good even battery capacity years still ok also low res screen ios optimization,Positive
auser dec battery life gb variant since newer indonesiabattery life us amazingi new ip battery life almost days use,Neutral
still use phone latest update keeping backup phone planning oneplus,Neutral
second iphone remember watching launch rushing carphone get loved phone time battery shocking everything itunes phone could fault except battery camera good fast heating loved,Positive
think phone like backup device something like light use phone instagramcallsfacetime,Positive
shordy could send proper nudes would recommend product,Positive
also installed latest ios patch iphone security bug fixes think,Positive
battery kept running buy,Neutral
updated ios still testing still phone apps keep crashing everything looks good,Positive
masterlord feb since last update ios battery drains ridicously fast would say last haft moreturn screen time,Neutral
get update ios,Neutral
still using iphone ios,Neutral
anonymous nov dont think possible maybe try using youtubecom website instead applicamoreu pay youtube red order month,Negative
ropz nov hi see messenger video call screen get actualmoreyou cant iphone,Neutral
hi see messenger video call screen get actual messenger app cant seem see person im talking whenever close app try search something safarido idea tia,Positive
whats best work around long lasting iphone battery hrs use based experience im new iphone user ever dont know version brand new thanks,Positive
goran nov may anybody enlight run youtube backscreen lock phone example thanksi dont think possible maybe try using youtubecom website instead application turn phone,Neutral
goran nov may anybody enlight run youtube backscreen lock phone example thanksyou run youtube mobile browser eg firefox chrome safari etc go settings browser select desktop version request desktop view something like,Positive
anonymous nov ios update working guys heard worse iphone works well iphone since upgrading ios like brand new works perfectly fine phone,Positive
ios update working guys heard worse iphone,Negative
may anybody enlight run youtube backscreen lock phone example thanks,Positive
arjun nov would like buy phone game adct othrwse gudfor average user good choice buy gb go gb least runs smooth ios,Positive
worst phone ever used life,Negative
would like buy phone game adct othrwse gud,Positive
good battery use phone day full,Positive
rahulq nov worst phone iever used lifevery poor battery life change charginmorehi may leaving apps time like lot people double click home button view close turning background app refresh help save battery since mostly unessential buy apple made cables considerably fragile recommended buying thirdparty apple certifified mfi cables provide braided options yr warranty good luck,Positive
worst phone ever nothing ever describe bad experiene w phoneee ended taking battery closed empty placed drawer pls save money,Positive
worst phone iever used lifevery poor battery life change charging cable every months,Negative
evt nov take care battery bro close apps double clicking home button view moremany thanks brother sure,Positive
pratibha nov weak phone good heavy users battery doesnt stay hours used heavily morebuy newer one bro course iphone wont satsify expectations,Neutral
weak phone good heavy users battery doesnt stay hours used heavily using phone since last months sound less ringtone heard traffic wearing helmet traveling always keep power bank,Neutral
olubaba jun battery perfect last long timebut battery draining fast please give suggestions,Positive
kriz jun anybody please tell performance battery speed model phonmorethe battery perfect last long time,Positive
good phone office always hand im holding phone,Positive
anybody please tell performance battery speed model phone year,Positive
iphone user may iphone always bestnahh think youre dreaming right,Neutral
air may best iphone android deviceof cource iphone best iphone im enjoying phone playing large game phone hanging problems occured im impressed decided im using android device future thank,Positive
anonymous may cant go back ios signed anymore dont worry nowmorethank reply boss see phone ios update still stay ios,Positive
jafar may hello somebody help brought phone around within one month phone moreno cant go back ios signed anymore dont worry go upwards ios big focus fixing issues ios also mainly focus fixing issues rewriting old systems improving security nonvisible stuff improves overall experience,Positive
purchase phone mar battery back goodover phone good,Positive
hello somebody help mei brought phone around within one month phone good especially battery backup worried mah battery ok fine phone running os unfortunately update os disappointed battery backup anyway go back os please reply asapthanks,Positive
nunu may worth,Positive
pal may safe update ios compare iis please suggest someone updateyes problems far excellent daily use,Positive
worth,Positive
anond may good day iphone users problem dad bought iphone observed thmoreas long apple id signed phone fake possibly phone refurbished parts definitely genuine,Negative
mean iphone box picture still fake,Negative
anonymous may plain box first year release think phone gb spacegreymoreyeah gb space gray fake,Negative
anond may good day iphone users problem dad bought iphone observed thmorethe plain box first year release think phone gb spacegrey normal version released sold resellers usually quickly spot fake iphone example opening app store looking google playstore overall smoothness animations space grey one black phone upfront black background bluepurple flower thin lines wallpaper type iphone box see mean,Negative
good day iphone users problem dad bought iphone observed box picture also watch unboxing videos box shows plain box also noticed ios ios upgraded ios already preinstalled dad told factory unlocked fake,Negative
best iphone android device,Positive
hello guys please tell upgrade iphone gb phone country lock unlock also battery timing much good days normal usage drain faster nothing change please leave opinion solve issuethanks lot,Positive
chandu nov iphone seiphone better display speaker se faster u mad numbers speed iphone better,Positive
anonymous nov nokia r iphoneif depends u prefer android ios good phones,Positive
anond oct ipnoe suggest plzzziphone se,Neutral
nokia r iphone,Neutral
rahil sid nov purchase iphone gb model middle east facing issue mobmorei know gb one soon start play music shareit heats eats battery please someone fix,Positive
zomi nov iphone nokia mostly interested front camera speedfront camera tiespeed iphone without doubt,Positive
purchase iphone gb model middle eastnow facing issue mobile getting heated whenever play song shareit app get extremely heated whats possible reason getting heated solution,Positive
vishaal nov guyz plz share battery life iphone get days batterylife moderate usage,Positive
iphone nokia mostly interested front camera speed,Positive
sharu nov new phone heating playing video mints bad product people dont bynot true big lie,Negative
joi nov hello sir heavy usage least day normal use daysabsolutely right,Neutral
new phone heating playing video mints bad product people dont,Negative
vishaal nov guyz plz share battery life iphone hello sirheavy usage least daynormal use days,Positive
guyz plz share battery life iphone,Positive
anond nov use iphone play drone dji mavic proafter upadte ios problem warning omorenever update old iphones,Negative
wanted know much mp camera comparing android phone camera like vivo vs mp camera better,Positive
ziad oct iphone samsung j proj pro,Neutral
use iphone play drone dji mavic proafter upadte ios problem warning phone cpu fully uploadedeven closing apps space memory still gb dont know must,Negative
anond nov im already update far everything running wellrunning fine well issues experienced update gone,Positive
anonymous jul always seems iphone put ticking time bomb phones break aftemorewhat android fanboy iphone since last summer upgraded plus iphones far better everything compared android phones,Negative
hi everyone want ask iphone suddenly weak battery update latest version,Negative
anonymous jul always seems iphone put ticking time bomb phones break aftemoreiphones much better longlievity samsung several years updates higher built quality iphobe survived years constant usage even bought iphone really good condition years feel like put bomb iphones buy samsung argument,Positive
always seems iphone put ticking time bomb phones break years leaving choice get another one hate apple going samsung,Negative
anond jul saying hi kitkat lg gpro man idea talking righmoresome facts xperia aqua laggy directly set iphone laggy never close background apps iphone deleting data well didnt say old android system laggy isnt safe cant say android handles ram better known iphones way superior ram management start use punctuation marks,Positive
anonymous jul never heard crp fanboy desperately defending android obvious iphmored saying hi kitkat lg gpro man idea talking right update android running last update every single application running application everything okay update called android play service phone didnt update patch security android play services updated every single application full updated nothing worry second device running android latest security update month go compare android iphone remember thing android flexible gives choice lagging getting slow user device use iphone plus gb laggy deleting data replacing using gb storage found ram cant handle much apps running time beside storage many times ios force close apps even one using look android open almost app running back ground go back apps open fast left running apps side side also enjoy choice encrypting data leaving plus get could storage gb years free every single device lg devices using first free offer waiting use second one got gb cloud shame device almost le egyptian pretty expensive mac user tell use android simply cus fast safe secure know use way fav browser fav gallery app fav music player every single app running letting running dont need apple choose fav apps even cant take whatsapp data device broke screen device apple didnt know help decide send team help whatsapp whatsapp told contact apple man way compare apple way use android way transfer date devices easily fast secure download songs put playlist without pc even play music player without downloading default music player also see gallery online without downloading default gallery app remember man control technology technology controlling old device years old faster brother iphone camera sharp manual control second device found iphone better camera iphone tried compare comes manual iphone lose dont hate iphone even like want peace technology want way like right thats paying money nice day,Positive
chap jul thank muchi searching answer everywhere finaly got answmoreyes think hope well finally reach point ios doesnt become much heavier every year wont laggy messes like iphone anymore also hope apple finally goes ram instead saving pennies iphones become even future proof,Positive
chap jul okthanksbut question performanceanyone used using iphone moreiphones faster android,Neutral
anonymous jul ok ill grab iphone share experiences note gb unit running iomorethank muchi searching answer everywhere finaly got answer dont think going betterevery new iphone powerful also rami knowits iosit doesnt need much ram like androids gb ram iphone plus gb,Positive
chap jul okthanksbut question performanceanyone used using iphone morei found iphone great dont go near water really mucks phone performance crappy,Positive
chap jul okthanksbut question performanceanyone used using iphone moreok ill grab iphone share experiencesnote gb unit running ios typed password unlock animation wasnt completely fluid redid fluid many notifications came didnt use open settings app see software running opening animation submenu animation back swiping animation fluid little delay compared iphone going sub menu seconds dont notice dont compare side side going app store animations buttery smooth loading main page takes couple seconds like secs go clash royale download update use downloading update takes half minute another seconds install loading game takes little seconds something like seconds donating cards reading new messages everything fast fluid notice phone starts heat little bit even though bad example xperia aqua test battle exactly fps pretty close guess fps swiping control center first time since startup takes seconds come smooth goes notification center going widget page completely fast would tip fps using fluid opening youtube loading video fast scrolling comments usable much pleasure iphone closing video little laggy closing app fps loading newest weather information takes second using app fast without lag camera app takes second load second focus taking pictures first took second ones instant opening photos zooming scrolling problem setting alarm instant phone kept warm hot like loaded clash royaleso iphone performs years last update could still imagine using like months ago every iphone iphone laggy last update except iphone gs ios cant completely sure next iphones age well performancewise im pretty sure iphone times fast thats whole new level came twice fast,Positive
anonymous jul complete reset every year phone flagship course great bumoreokthanksbut question performanceanyone used using iphone years answer really true iphone much faster android small difference every day use even important everyone saying smooth fluid iphone ismuch fluid android sois really true never lags even longer period updates,Positive
chap jul sony phones also work great longer periodmy years old z works lmoreif complete reset every year phone flagship course great see phone doesnt support software higher remember correctly means dont security dont get security updates every month phone basically less features comparable iphone get new features ios also got ios ios sony make different roms every phone dont much time care bug fixes apple one os every device example ios iphone build number software iphone lacking features cant get old twch like touch background tracking steps missing coprocessor also means gets updates timely great bought flagship phone mid range low end phones pure crp outdated support soon unbox,Positive
anond jul get samsung galaxy display p iphone meagre p morenever heard crp fanboy desperately defending android obvious iphones get longer software support obviously didnt ever use iphone iphone ios still works great loading times longer thats years old phone still faster much less laggy xperia aqua please stop spreading bs even though res p still sharp size compared galaxy rivals gets software update didnt get update since years left behind dust slowly painfully die could also say abput users adds much security phone wouldnt dare use android device today compare faster refined lcd doesnt oversaturated colors bad image retention like early amoleds looked really innatural today good refined back day lcd worked better shouldnt anybody listening data sheet fgs,Positive
rayne jul hey thanks man reason prefer iphone apple really good supporting devimoreits also used iphone years support ending also got dust display lower volume button didnt work thats fault bought iphone know use years even bought xperia aqua bs switched back iphone meanwhile lost value never things,Positive
g p jul think iphone gb available india around kat price value moneymorebut sony phones also work great longer periodmy years old z works like day got nowmy question iphone perform really better androidincluding sonyhtc pure android like pixelnexus small difference,Positive
anond jul get samsung galaxy display p iphone meagre p morethe galaxy isnt cheap,Neutral
rayne jul get iphone gb go mid range android phone please help need amoreget samsung galaxy display p iphone meagre p would get support years iphone apple likes slow point cant use stopped software could add custom rom new version android iphone reaches ios apple stop supporting choice scrap iphone apps stop supporting ios,Positive
rayne jul get iphone gb go mid range android phone please help need amorei think iphone gb available india around kat price value moneyandroid phones good spec wise except one two brands performance upto markmost phones start slowing six seven months usesi using iphone last years performance good years ago,Positive
anonymous jul neither gb iphone overpriced new mid range phones never reacmorehey thanks man reason prefer iphone apple really good supporting device long period time iphone receiving latest ios dont like idea changing phones every single year,Positive
anond apr hi guys better gaming experience iphone iphone se battemorethe iphone se better things,Positive
hi guys better gaming experience iphone iphone seand battery life based experience somebody said,Positive
l mar may well buy moto emoto e comparable iphone moto weak also cheaper,Negative
may well buy moto e,Positive
iphone samsung confused one buy,Negative
anond mar iphone gb iphone gb choose iphone last ios evemoreiphone gb time pretty unclear seems like ios cuts bit support still confirmed also possible later isnt big difference speedwise,Positive
iphone gb iphone gb choose iphone last ios even sorry bad english,Negative
pariz mar planning buy better iphone please explain coz st timmorethe iphone course better better value costs half almost good iphone technically,Positive
pariz mar planning buy better iphone please explain coz st timmorego iphone afford till k otherwise get k iphone better,Positive
pariz mar planning buy better iphone please explain coz st timmorewell answer question pick iphone,Positive
pariz mar planning buy better iphone please explain coz st timmorehi iphone thing bad battery life im going buy iphone better many things iphone better good luck,Positive
pr mar would suggest go fr se worth spending k u want iphone brand gmorei planning buy better iphone please explain coz st time use apple,Positive
k mar similar price one plus treal competition india todaywhose camera better one plus iphone,Positive
nan,Neutral
nana mar drom iphon water shut doturn put rice absorb water days look,Neutral
drom iphon water shut,Neutral
coco mar need help update iphone gb ios phone lag gaming batery drainmorehard reset phone holding power home button apple logodo let know problem solved,Negative
coco mar need help update iphone gb ios phone lag gaming batery drainmoresame problem bro unexpected shutdown battery problem,Negative
prince mar buddy k also cheap recall price launch big screen really moresimilar price one plus treal competition india today,Neutral
coco mar need help update iphone gb ios phone lag gaming batery drainmorei would recommend factory reset iphones old already slow software update updated iphone ios became worse every update deleted backup since ios set new iphone ever since faster ios ipad mini ios technically twice fast uses ios backup old ipad,Negative
anond dec samsung galaxy edge gb iphone gb please help meiphone storage speed camera display battery life choose things important youpersonally would take iphone although think beautiful isnt argument personal preference,Positive
samsung galaxy edge gb iphone gbplease help,Positive
vlatko dec guys iphone samsung iphone gb ram problem thissamsung iphone specific advantages disadvantages like phone depends suits better say iphone slightly better samsung pov battery life os stability especially fact phone deprecate half year usage still receiving os updates iphone strengthssamsung instead better display better camera course freedom customize device like android phonenow negative parts display lightning port restrictions imposed apple ios may frustrating times able customize device use specific cable types universal usb micro usb samsung dont expect system updates long receive x updates dont know samsung continue keep device alive much time also chance fingerprint sensor fail point keep mind youre gon na buy last bloatware comes already installed give headaches gb ram used even start app installedso choice good luck,Positive
doubt iphone best choice,Positive
vlatko dec guys iphone samsung iphone gb ram problem thisi think iphone even better ram management dont think iphone bad indeed faster general better greater display resolution technology oled benefits coming camera megapixels dont matter things like software aperture sensor size important also battery life traditionally average iphones thin terms software sure iphone future updates although older phone points os updates speed count buy iphone everything matters little bit better phone also remember apple device mac apple watch ipad airpods apple tv ipod work seamlessly case would also prefer iphone,Positive
arjun dec using iphone year one worst battry life ever pmorejust wait update fix problem reason react,Negative
nick dec guys hows performance ios please let know battery back details anmorei using iphone year one worst battry life ever phonei nexus better thisplus thing dies even ample juice left random annoyingi would suggest look better cheaper android options,Positive
guys iphone samsung iphone gb ram problem,Negative
anonymous dec depends want smaller ive noticed call quality bettmorespoken like wise man opinion iphone would u get,Positive
guyshows performance ios please let know battery back details worth updating versionwhat major changesupgrades version,Positive
anonymous dec depends want smaller ive noticed call quality bettmorethanks bro opinion,Positive
pls guys asking new wallpapers new ios whats feedback latest update please thank guys,Positive
kingzzz dec hey get iphone plusanyone give opinionget god,Positive
anyoneler dec someone give opinionshould get iphone plusbecause phone chmoredepends want smaller ive noticed call quality better easier hold personally went iphone plus refurbished att larger screen battery life ear piece really hard hear people calls little slippery case wrap sure calls plus larger screen great media consumption battery life imops good call going later model youll definitely save money phone good,Positive
always years old iphones get massive price drops used ones ebay contracts time iphone carry iphone reign good value money iphone,Positive
kingzzz dec hey get iphone plusanyone give opinionhello depends liking bigger phone size problem id say go plus bigger screen higher resolution bigger battery ois optical image stabilization doesnt,Neutral
anonymous dec almost go store compare size suits betteri hear lot touch diseaseis big problemneed opinion,Neutral
kingzzz dec hey get iphone plusanyone give opinionthey almost go store compare size suits better,Positive
tis fast haz sseen faster,Neutral
hey get iphone plusanyone give opinion,Neutral
hello people philippines guys updated iphone iphone ios via ota safe already update guys via ota heard could brick iphone updated via ota im afraid pursuing pls help decide guys thank pls pls honest thank youi two iphone iphone iphone,Positive
julc sep updated ios everything work fine new thing interfacemorehello eliminate issue go settings accessibility scroll home button activate rest finger open finger print security works thats,Positive
hello ios fixed screen freezing issue specially right hand corner workking completely smoother love phone slightly lighter,Positive
updated ios everything work fine new thing interface like itbut one thing unloking phone ask press home butom hate thatanyone know turn help pls,Positive
anonymous sep iphone best phone use major problem weak beattrydon im ghana well go battery change would fine similar issue changed battery new one got sorted,Positive
anonymous sep screen issue im hearing iphone plusam using iphone since day oneand yes indeed issue capacitive command displayand ive heard almost affected thishoweverthe issue graveonly occasionally touch input stop respondingand case lower right portion screenthis thing happens rarellyonce couple weeksand get corrected matter minutesno big deal honestaltough happen chat momentyoull frustrated wouldnt able use far right keyboardbut said problem get corrected matter minutes without need restart anythingmore soin year expirience iphone restarted two buttons simultsneously bcs touch frozen completellyi hope help lotpersonally satisfied device overaland still bloody good phone compared competitiongot sgs edgeand still use iphone everyday drivercheers,Positive
marci sep use iphone year seem working good first dayis screen issue im hearing iphone plus,Positive
pip sep using iphone since one yearbattery timing still ok phone perfomance verymoreeven,Positive
taken photos iphone date time incorrect ow find exact date photo taken find technician option find exact date time photo taken thanks,Positive
gaurav sep touch screen stops responding touch get flickering grey bar top moreyes got replaced apple store,Positive
use iphone year seem working good first day,Positive
using iphone since one yearbattery timing still ok phone perfomance good,Positive
major disadvantage iphone battery problem,Negative
fzl aug touch disease iphone touch screen stops responding touch get flickering grey bar top screen problem faced many iphone users world wide,Negative
phone series major problem touch screen going unresponsive take calls matter anything phone famously known touch disease far faced iphones well plus value u pay major defects worth,Negative
using iphone n happy iphone,Positive
anonymous aug hiii im little confused want ur opinion iphones user months back boughmorestyle performance se soc,Negative
anonymous aug hiii im little confused want ur opinion iphones user months back boughmoreiphone se better performance,Positive
techmech may iphone quite rated simple benefits please community dogma morelol im,Positive
iphone option go,Neutral
john dee may waiting update fix bugs arrived days ago update tomorehey john dee since filipino trust filipino trust word update latest os come heat sounds music sound game shadow fight like ive use headset sound experience huh john dee,Positive
iphone quite rated simple benefits please community dogma apple always makes amazing phones untrue battery dies quickly camera lacking mp proud htc fan see previous comments apple users generally teens admit practical dont blame buy want something different sadly new htc one whatever new flagship called looks way much like iphone ditched round back id say new nexus htc samsung phones definitely iphone,Positive
want complaint iphone screen suddenly cant touch im disappointed brand iphone bcoz st time used iphone screen cant touch even somebody call also cant touch pickup phone im soooo disappointed iphone,Positive
like lot although still tends overheat lot like iphone also wish battery life longer feels like im using iphone,Positive
iphone iphone,Neutral
wrong poor love iphone iphone yet iphone good tricks,Positive
waiting update fix bugs arrived days ago update iphone tell go update units battery suck back brand new estate fixed heat bug also fixed iphone good brand new one thanks latest version ios mabuhay,Positive
iphone definitely best phone world many people poor buy one hate one love android sucks,Positive
anonymous may iphone laggy peice crap safari uses battery wont even last damoreim issues right went apple store minutes time going replace phone going repair inhouse finally send depot repair used could repairs inhouse subjected sending phone dealing piece crap loaner apple saves money repairs high cost products offset great service longer case better samsung android,Positive
iphone best nf,Positive
anond may hi currently using iphone c want upgrade higher level plannmoreif dont care screen size go ip se fresh spec good bttery backup old design price also different ip se dont take ips old spec dont much money go ip,Positive
anonymous may iphone laggy peice crap safari uses battery wont even last damoredownload ipsw phone restore using itunes hope go fine,Positive
anonymous may iphone laggy peice crap safari uses battery wont even last damoredude iphone better phone ever built never gon na problem guy hater,Negative
charley may hi folks like buy phone plz clear following queries im hardcore music frmoreiphone laggy peice crap safari uses battery wont even last day full charge even apps open phone still lags freezes sometimes certain phone constantly running background processes use data even apps closed dont waste money iphone buy android phone better almost every aspect,Positive
anond may hi currently using iphone c want upgrade higher level plannmoredude move swhatever smartphone probably hold battery whole dayanyway camera crapbest front cam flags imowhat find touch totally uselessor u better iphone currently using iphone say pretty balanced phonenice mp shooterslomosu got every thing except mp rearmp frontd touch newer chipset lower price go se,Positive
hi currently using iphone c want upgrade higher level planning buy reviews tell battery weak camera crap camera battery back better totally confused please somebody guide mobile buy whether pls read message guide whether nice good good camera battery department please waiting valuable answer pls guide right path valuable guidance please,Positive
anond may apple third class company world service support agreeeee,Positive
bishow khadka may month ago change iphone screen probelm ios update finmoreyou buy android smarthphone iphone sucks alot,Negative
dan mar iphone hanged showing icon application logos select icon morelet battery drain fine afterwards,Positive
hi gaming geek movie fonder want know enough iphone gb considering specifications mainely concerned abt battery ram memorycan u plz guys give ur expert opinion new ios,Negative
hi alli replace old nokia gsm dispose iphone iphone wonder transfer data nokia n iphone notesrtf msword files regardsparalou,Neutral
iphone hanged showing icon application logos select icon anyone help fix problem iphone thank advance,Positive
anond mar hey bob suggest may disable apps didnt use heres step go tomorethanks plong tried solution realised already disabled apps solutions consider,Positive
anond feb iphone isnt working updating latest version tried restoring itsmoreturn antivirus try,Positive
anond feb samsung iphone best phine never came phones laging issues thmoreiphone dont lag samsung number one laggy phone dude bitch touchwiz ui android sony htc nexus,Positive
fendalious phone,Neutral
bob feb iphone heating terribly past two weeks resulting constant drmorehey bobi suggest may disable apps didnt useheres stepgo settingsgeneralbackground apps refreshthen select apps want disable may help preserve battery life tried mine worked hope help thanks,Positive
bob feb iphone heating terribly past two weeks resulting constant drmoreyou need disable apps useturning apps may help preserve battery lifego settingsgeneralbackground app refresh choose apps want disable hope help,Positive
livid today iphone completely died today bad luck iphone lost contacts upgrade came around months ago made big mistake purchase iphone totally died today waiting days refurbished phone delivered mind new phone someone elses faulty product nice customer service years contract due purchase apple product six month old phone gets replaced someone elses uses product phone get used phone impressed contact better business bureau unethical way business,Negative
anonymous feb ios versioni dont really know version since didnt pay attention think help done everything get work nothing,Positive
iphone heating terribly past two weeks resulting constant draining battery closed apps situation persists anyone help,Negative
omg phone awesome,Positive
samsung iphone best phine never came phones laging issues thn camany phone really smoothness using iphone buy next phones one buy personaly experience samsung apple one best company never came never came best phone thanks video quality super hd video play really enjoy,Positive
shel feb torn droid x iphone kids say iphone face time thmorethe thing facetime truly shows apple managed manipulate fanbase takes seconds install skype phone basically gives access videocalling device yet lot people think possible iphonesi phone almost half year maybe people circle friends still use iphones unfortunately problem skyping lg phone soon edge afford itdont make decision based facetime limited skype basically app ios android windows device think iphones great thats fine go prefer better camera battery customization ability connect phone devices iphones would recommend different make personally would suggest high end samsung lg,Positive
p feb buy better make smartphones sound rude cant really buy something amorehater detected,Neutral
shel feb torn droid x iphone kids say iphone face time thmoreif currently using android never ever buy ios device bkz devices optimization multitasking gon na feel like imprisoned choice yourshave nice day,Positive
anond feb iphone isnt working updating latest version tried restoring itsmorejust take flight go area,Positive
verify whether iphone gb gb buying,Neutral
using im problem updating ios every time open settings update shows checking update unable check update error occured checking software update plz anyone help update ios wifi without problem,Negative
apple iphone smart looking battery backup goodcamera phone excellent,Positive
beginner dec buy new iphone last monday ios better ios ios kindly postmore better using batter,Positive
anonymous dec long video shoot iphone full hd gb free storageyouve got limit,Positive
good mobile ilke,Positive
anonymous dec use phone youre heavy app user midrange device dosedge,Neutral
apple excellentfast easy handle,Positive
long video shoot iphone full hd gb free storage,Positive
im facing problem days app store iphone opening except update page anyone tell would reason help please,Positive
buy new iphone last monday ios better ios ios kindly post comment tia,Positive
iphone amazing nd use like r heaven love feature nd slim body totaly match shilpa figure,Positive
anonymous dec good buy iphone nowor buy samsung otherplease replyi thnk u go samsung galaxy edge plus,Positive
anonymous dec good buy iphone nowor buy samsung otherplease replyiphone way,Positive
anonymous dec good buy iphone nowor buy samsung otherplease replywhat use phone forif youre heavy app user midrange device,Positive
good buy iphone nowor buy samsung otherplease reply,Positive
hi apple going solve wifi problem iphone getting worst day day wifi signal strong every time go near router connect android phone connects even second room checked signal router good iphone doesnot even show signals range android shows almost signals range getting frustrated problem even updated ios please heil solve,Negative
hi apple read letter please consider fast update latest os buggy laggy wifi connection iphone becomes unstable connect reconnect unlike dont need wifi connection connect wifi automatic connect wifi version also wifi connection becomes poor base observation sometimes hard download upload consider fast update fix problem thank,Negative
omg iphone update becomes laggy favorite game shadow fight waaaaaaaaaareturn back good state iphone waaaaaa,Positive
rohan nov buy phone gb nexus p gb im using android phone kimoreblindly go p better camera battery design also google stock,Positive
rehman dec iphon plus better galaxy edge pluss edge plus better camera battery also design,Positive
nav virk oct apple good phone samsung usefull camra good moreohh really,Positive
anonymous oct used samsungs sonys mobiles one better apple otmorei love apple products samsung lot better would go,Positive
dont guys think apple made iphone gb storage capacity least instead poor gb price variations iphone storage capabilities isnt much bet people would buy apple products happily apple would sale products much pricy,Positive
confused iphone iphone please suggest,Neutral
steve jobs oct witch one better iphone samsung glaxery edge apple good phone samsung usefull camra good advice u byu samsung edge excellent phone samsung,Positive
steve jobs oct witch one better iphone samsung glaxery edge new iphone six basicly thing six phones pretty great,Positive
vince oct hate apple iphone soon next phone comes put update makes thmoreif save pictures contacts messages memory wipe factory reset phone back normal happened update something simple texting pain would freeze crash ios,Negative
hate apple iphone soon next phone comes put update makes year old phone obsolete makes incredibly slow worst part update phone isnt option stop needing upgrade ive looked overandover want buy phone phone every year usable iphone way go,Negative
witch one better iphone samsung glaxery edge,Positive
iphone ratedthe wordt phone market moment issues upgrades,Neutral
anonymous oct better samsung iphone iphone prefer iphone really like gs android runs smooth fast music player sounds better customizable gs excellent cameras picture videos find gs camera better pictures iphone camera dominates slow mo video recording keep mind memory card slots quality phones expensive come preference,Positive
ugh ive nothing issues new iphone plus got less week ago network signal worse prior im getting signal places ive signal issues phone keeps freezing completely ive hard resets already screen periodically picking selections typing maybe got unlucky received bad unit something ive never many issues iphone ive using iphones since gen one,Negative
used samsungs sonys mobiles one better apple devices hang apps crashes phone havent face problemsso dont fool like,Positive
better samsung iphone,Positive
omg phone gotten problems talk ipad iphone since iphone three last one,Negative
sumit oct thanks phnone shld buy rs plz tellmei india live norway prices differenti sold iphone bought xperia z today thanks god tension,Positive
ouzel oct im considering changing samsung note apple advantages goinmoreits lot faster stable system touchwiz iphone never crashes post comment coz know samsung galaxy change iphone best options didnt regret dont need costumisaton android problem put music itunesi know people dont want minutes go iphone never buggs promise good luck,Positive
ram good camera quality unbelivablethis phone best,Positive
made right decisionyou wont regret assure youim apple user since college dateasking benefits lots one really good iphone virus free,Positive
anond oct iphone best battery timing iphone models used usmorethanks phnone shld buy rs plz tellme,Positive
anonymous sep great phone would good battery could last little longeri heard feature called rechargable battery plug wall charger kind helps sory englich spek omericane,Positive
guys plssss someone help begging pls tell heating phone heat minutes gaming minutes web searching fast heat plsssssss reply iphone user thanks lottttt,Positive
anonymous sep transfering secondary nowadays quality apps demand got whatsapp nmoreonly signal else say untrue,Negative
great phone would good battery could last little longer,Positive
